sampleTime,x,y,th,th1,th2,th3,th4,th5,th1m,th2m,th3m,th4m,th5m
1,-0.01,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,-1.42,0,1.42,0,0,-1.42,-6.28,1.42,0
3,0.01,0,-0.01,0,-1.42,0,1.42,0,0,-1.42,-6.28,1.42,0
4,0.02,0,-0.01,0.01,-1.41,0,1.41,0,0.01,-1.41,-6.28,1.41,-0.01
5,0.02,0,-0.02,0.01,-1.41,0,1.41,0,0.01,-1.41,-6.28,1.41,-0.01
6,0.03,0,-0.02,0.02,-1.41,0,1.41,0,0.02,-1.41,-6.28,1.41,-0.02
7,0.04,0,-0.03,0.02,-1.41,0,1.41,0,0.02,-1.41,-6.28,1.41,-0.03
8,0.05,0,-0.03,0.03,-1.41,0,1.41,0,0.03,-1.41,-6.28,1.41,-0.03
9,0.06,0,-0.04,0.04,-1.41,0,1.41,0,0.04,-1.41,-6.28,1.41,-0.04
10,0.07,0,-0.05,0.04,-1.41,0,1.41,0,0.04,-1.41,-6.28,1.41,-0.04
11,0.08,0,-0.05,0.05,-1.41,0,1.41,0,0.05,-1.41,-6.28,1.41,-0.05
12,0.08,0,-0.06,0.06,-1.4,0,1.4,0,0.06,-1.4,-6.28,1.4,-0.06
13,0.09,0,-0.07,0.07,-1.4,0,1.4,-0.01,0.07,-1.4,-6.28,1.4,-0.07
14,0.1,-0.01,-0.08,0.08,-1.4,0,1.4,-0.01,0.08,-1.4,-6.28,1.4,-0.08
15,0.11,-0.01,-0.09,0.09,-1.4,0,1.4,-0.01,0.09,-1.4,-6.28,1.4,-0.09
16,0.12,-0.01,-0.1,0.1,-1.4,0,1.4,-0.01,0.1,-1.4,-6.28,1.4,-0.1
17,0.13,-0.01,-0.11,0.11,-1.4,0,1.4,-0.01,0.11,-1.4,-6.28,1.4,-0.11
18,0.14,-0.01,-0.12,0.12,-1.39,0,1.39,-0.01,0.12,-1.39,-6.28,1.39,-0.12
19,0.15,-0.01,-0.13,0.13,-1.39,0,1.39,-0.01,0.13,-1.39,-6.28,1.39,-0.13
